:START_ID,:END_ID,name,:TYPE
e38343,e51898,地址,地址
e38343,e51477,通往范围,通往范围
e38343,e53062,服务项目,服务项目
e26022,e26022,中文名,中文名
e26022,e27472,出生地,出生地
e26022,e49131,出生日期,出生日期
e26022,e47788,逝世日期,逝世日期
e26022,e26022,中文名,中文名
e26022,e27472,出生地,出生地
e26022,e49131,出生日期,出生日期
e26022,e47788,逝世日期,逝世日期
e26340,e26340,本名,本名
e26340,e14295,所处时代,所处时代
e26340,e35487,出生地,出生地
e26340,e31276,去世时间,去世时间
e4958,e4958,中文名,中文名
e4958,e51033,出生日期,出生日期
e4958,e6075,出生地,出生地
e4958,e25445,逝世日期,逝世日期
e29848,e29848,中文名,中文名
e29848,e44220,国籍,国籍
e29848,e43971,民族,民族
e29848,e15370,逝世日期,逝世日期
e29848,e12600,出生日期,出生日期
e8720,e8720,中文名,中文名
e8720,e50485,特点,特点
e8720,e39086,定义,定义
e8720,e9707,划分,划分
e18688,e18688,中文名,中文名
e18688,e37249,外文名,外文名
e18688,e34462,解散时间,解散时间
e18688,e10019,上机组织,上机组织
e18688,e42380,总部所在地,总部所在地
e18688,e17524,成立时间,成立时间
e42169,e42169,本名,本名
e42169,e10352,去世时间,去世时间
e42169,e34182,出生时间,出生时间
e42169,e51892,主要作品,主要作品
e42169,e31582,民族族群,民族族群
e28705,e28705,中文名,中文名
e28705,e7124,生产单位,生产单位
e28705,e48985,用途,用途
e28705,e22120,现状,现状
e28747,e28747,中文名,中文名
e28747,e22956,外文名,外文名
e28747,e44730,出生日期,出生日期
e28747,e32059,逝世日期,逝世日期
e15302,e15302,中文名,中文名
e15302,e48836,外文名,外文名
e47799,e47799,名称,名称
e47799,e11160,发生时间,发生时间
e47799,e11713,地点,地点
e47799,e36090,参战方,参战方
e23101,e35648,事件背景,事件背景
e23101,e12786,事件形式,事件形式
e23101,e26365,会议地点,会议地点
e23101,e49746,事件时间,事件时间
e28623,e28623,中文名,中文名
e28623,e30073,外文名,外文名
e28623,e18669,供给对象,供给对象
e28623,e43578,称号,称号
e28623,e28623,中文名,中文名
e28623,e30073,外文名,外文名
e28623,e18669,供给对象,供给对象
e28623,e43578,称号,称号
e41056,e41056,中文名,中文名
e41056,e4256,别名,别名
e41056,e857,出生日期,出生日期
e41056,e17472,籍贯,籍贯
e41056,e32542,职务,职务
e41056,e35462,逝世日期,逝世日期
e16220,e16220,中文名,中文名
e16220,e2215,职业,职业
e16220,e23117,参加革命时间,参加革命时间
e44399,e44399,中文名,中文名
e44399,e2215,职业,职业
e44399,e17524,逝世日期,逝世日期
e44399,e13923,出生地,出生地
e44399,e45438,出生日期,出生日期
e18367,e18367,中文名,中文名
e18367,e47757,出生地,出生地
e18367,e41477,毕业院校,毕业院校
e18367,e37366,出生日期,出生日期
e3278,e3278,中文名,中文名
e3278,e35713,逝世日期,逝世日期
e3278,e22172,别名,别名
e3278,e13590,民族,民族
e3278,e43657,性别,性别
e38520,e38520,中文名,中文名
e38520,e7102,小说性质,小说性质
e38520,e26238,写作进程,写作进程
e34480,e34480,中文名,中文名
e34480,e33143,特点,特点
e34480,e19119,对应弹,对应弹
e34480,e4618,作用,作用
e34480,e53211,现状,现状
e28117,e28117,中文名,中文名
e28117,e23356,出生日期,出生日期
e28117,e46191,逝世日期,逝世日期
e28117,e43106,主要成就,主要成就
e28117,e31088,毕业院校,毕业院校
e38933,e38933,名称,名称
e38933,e1201,地点,地点
e31938,e31938,中文名,中文名
e31938,e36298,逝世日期,逝世日期
e17120,e17120,中文名,中文名
e17120,e48279,类型,类型
e17120,e11444,原产国,原产国
e17120,e28177,生产厂家,生产厂家
e50231,e50231,中文名,中文名
e50231,e29382,逝世日期,逝世日期
e50231,e31769,参加革命时间,参加革命时间
e50231,e2215,职业,职业
e17120,e17120,中文名,中文名
e17120,e48279,类型,类型
e17120,e28177,生产厂家,生产厂家
e17120,e11444,原产国,原产国
e32742,e32742,中文名,中文名
e32742,e27890,出生地,出生地
